G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
USAir97,0.5908768278276522,1.0,0.3172387434936119,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
USAir97,0.5415664305119406,1.0,0.2780548174571397,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
USAir97,0.903011937891638,1.0,0.8053907472791468,True,random
USAir97,0.6233290757095947,1.0,0.4153714556109635,True,degree
USAir97,0.6033223804308142,1.0,0.2901758089760856,True,HDA
USAir97,0.6217225397056504,1.0,0.4153714556109635,True,CI
socfb-Caltech36,0.8613698761492483,0.981882585609016,0.7544429995665366,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
socfb-Caltech36,0.8585388630569434,0.981882585609016,0.7544429995665366,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
socfb-Caltech36,0.8649620568050901,0.981882585609016,0.7589706599479844,False,ORIGINAL_BA_FINDER
socfb-Caltech36,0.8563623449013873,0.981882585609016,0.7521842490247074,False,MTSSL_MEGA_reset_BA_FINDER_noProc
socfb-Caltech36,0.8511065569533797,0.981882585609016,0.7454317024273949,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
socfb-Caltech36,0.8769760502575116,0.981882585609016,0.7521842490247074,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
socfb-Caltech36,0.8553816607564507,0.981882585609016,0.7499288849154746,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
socfb-Caltech36,0.8874174467937969,0.981882585609016,0.7910266309059385,True,random
socfb-Caltech36,0.8609596276635184,0.981882585609016,0.7544429995665366,True,degree
socfb-Caltech36,0.860984981349668,0.981882585609016,0.7544429995665366,True,HDA
socfb-Caltech36,0.8612405233357286,0.981882585609016,0.7544429995665366,True,CI
openflights,0.5391155092348605,0.991967914871781,0.2012621590842594,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
openflights,0.50912357619434,0.991967914871781,0.1941708416044364,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
openflights,0.5820842475993145,0.991967914871781,0.1947434044985798,False,ORIGINAL_BA_FINDER
openflights,0.601881798123244,0.991967914871781,0.1813331892923536,False,MTSSL_MEGA_reset_BA_FINDER_noProc
openflights,0.4007554810417389,0.991967914871781,0.1685333477374313,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
openflights,0.6810595084100085,0.991967914871781,0.2899319856499174,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
openflights,0.4690041031438546,0.991967914871781,0.1923865339689141,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
openflights,0.8821553104341406,0.991967914871781,0.7542957971542904,True,random
openflights,0.5374762274229434,0.991967914871781,0.3248799283396126,True,degree
openflights,0.5009837745147219,0.991967914871781,0.2324731386079339,True,HDA
openflights,0.5372005496637619,0.991967914871781,0.3294856386641999,True,CI
powergrid,0.4270987726307473,1.0,0.0211182643451841,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
powergrid,0.3609701672112377,1.0,0.0122970075227768,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
powergrid,0.4183272341705027,1.0,0.0430349377717798,False,ORIGINAL_BA_FINDER
powergrid,0.3884507349320947,1.0,0.0250886779791007,False,MTSSL_MEGA_reset_BA_FINDER_noProc
powergrid,0.3938336668944923,1.0,0.0110149152714582,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
powergrid,0.4754008555026581,1.0,0.073769754356467,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
